"U:0","U:1","U:2","k","nut","omega","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.29307,-2.0223e-05,0,0.0034292,1.086e-08,86965,-2.3187,1,0.1743,0.1243,0.05001,0
0.29329,-1.9996e-05,0,0.0034308,1.083e-08,86965,-2.3175,1,0.1746,0.1246,0.05001,0
0.29352,-1.9769e-05,0,0.0034324,1.0799e-08,86965,-2.3162,1,0.1749,0.1249,0.05001,0
0.29374,-1.9542e-05,0,0.003434,1.0768e-08,86965,-2.3149,1,0.1752,0.1252,0.05001,0
0.29397,-1.9316e-05,0,0.0034355,1.0737e-08,86965,-2.3136,1,0.1755,0.1255,0.05001,0
0.29419,-1.9088e-05,0,0.0034371,1.0707e-08,86965,-2.3124,1,0.1758,0.1258,0.05001,0
0.29439,-1.8857e-05,0,0.0034384,1.0677e-08,86965,-2.3111,1,0.1761,0.1261,0.05001,0
0.2946,-1.8625e-05,0,0.0034398,1.0648e-08,86965,-2.3099,1,0.1764,0.1264,0.05001,0
0.29481,-1.8394e-05,0,0.0034411,1.0618e-08,86965,-2.3087,1,0.1767,0.1267,0.05001,0
0.29501,-1.8162e-05,0,0.0034425,1.0589e-08,86965,-2.3075,1,0.177,0.127,0.05001,0
0.29522,-1.7931e-05,0,0.0034439,1.0559e-08,86965,-2.3062,1,0.1773,0.1273,0.05001,0
0.29543,-1.7719e-05,0,0.0034452,1.053e-08,86965,-2.305,1,0.1776,0.1276,0.05001,0
0.29562,-1.7586e-05,0,0.0034463,1.0501e-08,86965,-2.3039,1,0.1779,0.1279,0.05001,0
0.29581,-1.7453e-05,0,0.0034475,1.0472e-08,86965,-2.3027,1,0.1782,0.1282,0.05001,0
0.296,-1.7321e-05,0,0.0034486,1.0444e-08,86965,-2.3015,1,0.1785,0.1285,0.05001,0
0.29619,-1.7188e-05,0,0.0034498,1.0415e-08,86965,-2.3003,1,0.1788,0.1288,0.05001,0
0.29638,-1.7055e-05,0,0.0034509,1.0387e-08,86965,-2.2992,1,0.1791,0.1291,0.05001,0
0.29657,-1.6911e-05,0,0.0034521,1.0358e-08,86965,-2.298,1,0.1794,0.1294,0.05001,0
0.29674,-1.6698e-05,0,0.003453,1.033e-08,86965,-2.2969,1,0.1797,0.1297,0.05001,0
0.29692,-1.6486e-05,0,0.003454,1.0303e-08,86965,-2.2958,1,0.18,0.13,0.05001,0
0.2971,-1.6274e-05,0,0.0034549,1.0275e-08,86965,-2.2947,1,0.1803,0.1303,0.05001,0
0.29727,-1.6062e-05,0,0.0034559,1.0247e-08,86966,-2.2935,1,0.1806,0.1306,0.05001,0
0.29745,-1.5849e-05,0,0.0034568,1.022e-08,86966,-2.2924,1,0.1809,0.1309,0.05001,0
0.29762,-1.5632e-05,0,0.0034578,1.0192e-08,86966,-2.2913,1,0.1812,0.1312,0.05001,0
0.29778,-1.5326e-05,0,0.0034585,1.0165e-08,86966,-2.2902,1,0.1815,0.1315,0.05001,0
0.29794,-1.502e-05,0,0.0034593,1.0139e-08,86966,-2.2892,1,0.1818,0.1318,0.05001,0
0.2981,-1.4714e-05,0,0.0034601,1.0112e-08,86966,-2.2881,1,0.1821,0.1321,0.05001,0
0.29826,-1.4408e-05,0,0.0034608,1.0085e-08,86966,-2.287,1,0.1824,0.1324,0.05001,0
0.29842,-1.4102e-05,0,0.0034616,1.0058e-08,86966,-2.286,1,0.1827,0.1327,0.05001,0
0.29858,-1.3796e-05,0,0.0034623,1.0032e-08,86966,-2.2849,1,0.183,0.133,0.05001,0
0.29872,-1.35e-05,0,0.0034629,1.0006e-08,86966,-2.2839,1,0.1833,0.1333,0.05001,0
